fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,17,MADHYA PRADESH,1704,DATIA,0,0,0,0,0,32,211,5088,0,0,16968,0,2733,0,11.2875454,0,0,37774,65766,0,81551,146340,5120,11.2875454,0,50,0,0,0,NA
2025-2026,April,17,MADHYA PRADESH,1706,GUNA,0,1344123.305,1,0,0,57,263,18078,4,0,26284,1,48208,0.24124,54.0061722000001,3,3,100237,213903,0,209222,432351,18135,53.7649322000001,0,81,0,98.82,0,NA
2025-2026,April,17,MADHYA PRADESH,1707,TIKAMGARH,0,125221.945,1,0,0,38,218,11329,22,3,22532,0,13270,0,27.5488279,20,20,74551,134360,0,129745,223949,11367,27.5488279,4,66,56.02,0,100,NA
2025-2026,April,17,MADHYA PRADESH,1710,SAGAR,0,493558.592,1,0,1.5635,111,541,17900,10,7,34440,0,31086,5.367,56.2863592,8,8,142279,244482,0,289013,494768,18011,49.3558592,1,73,99.3,0,100,NA
2025-2026,April,17,MADHYA PRADESH,1724,KHARGONE,0,6522091.98,1,0,0.40501,49,382,19716,1,0,37218,1,172913,1.884,67.5099298,1,1,171154,341779,0,290361,574580,19765,65.2209198,0,74,0,0,0,NA
2025-2026,April,17,MADHYA PRADESH,1725,KHANDWA,0,0,0,0,0,24,331,11747,0,0,24706,0,104481,0,12.4508998,0,0,124069,308998,0,196866,464862,11771,12.4508998,0,66,100,0,0,NA
2025-2026,April,17,MADHYA PRADESH,1734,NARSINGHPUR,0,707755.36,2,0,2.9874194,33,281,10409,2,0,24640,0,26512,0,17.1425266,1,1,71918,134939,0,150507,264064,10442,14.1551072,2,72,0,0,0,NA
2025-2026,April,17,MADHYA PRADESH,1738,BALAGHAT,0,20563583.29,1,0,1.00852,55,272,20768,1,0,27009,0,129025,8.29176,214.9361129,1,1,264600,570901,0,318253,671080,20823,205.6358329,0,78,0,0,0,NA
2025-2026,April,17,MADHYA PRADESH,1743,HARDA ,0,247777.373333333,1,0,0.017,31,149,3754,3,0,17388,0,28313,2.59112,10.0414412,2,2,28678,67071,0,50778,114008,3785,7.4333212,2,59,0,0,100,NA
2025-2026,April,17,MADHYA PRADESH,1748,ASHOK NAGAR,0,63418.7062068964,1,0,0,29,217,17852,58,6,28205,31,15449,0,36.7828495999999,46,58,84489,141995,0,152941,548581,17881,36.7828495999999,15,85,0,0,100,NA
